name	img_url	price	statuses	store_name	category_id
하츄핑과 시진핑에 의한 경제적 영향 비교분석	https://image1.marpple.co/files/u_4942768/2024/11/original/ca64ac080c5d011ea5698673290cbd41135af27e1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,000"	SOLD_OUT	곰국집	1
토심이 우다다다 아크릴 키링	https://image1.marpple.co/files/u_24801/2024/12/original/0b3331f2c8aaab21baa1db10ccb0c2e96b81feb71.png?q=92&w=450&f=webp&bg=f6f6f6	"6,500"	AVAILABLE	토심이	1
구머링 보라 키링	https://image1.marpple.co/files/u_4216304/2024/11/original/22f624c236a459c65f058e3ed85aef40012f43761.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
트리가 되 민재	https://image1.marpple.co/files/u_5108934/2024/11/original/373809d01b5ba8af7c1b2e56431a859958f02d661.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	이루와친구들	1
거냉양마니	https://image1.marpple.co/files/u_1080300/2024/11/original/68db3dc015afc56ee9c84f802ddee7cc1a6bca991.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	SOLD_OUT	냉면킬러	1
나 아는사람 강다니엘 닮은 이모 키링	https://image1.marpple.co/files/u_4942768/2024/11/original/a3079fbaeeb2f74544389e86c310e3fed14ee4071.png?q=92&w=450&f=webp&bg=f6f6f6	"8,000"	SOLD_OUT	곰국집	1
브리아노	https://image1.marpple.co/files/u_1097876/2024/12/original/85863b18d848f3b448305df80daa81f926981c781.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	엉덩국 굿즈상점	1
토심이 와글 아크릴 키링	https://image1.marpple.co/files/u_24801/2024/12/original/f9c43f11f90d10f8c833a10d91053c23ed54933e1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,500"	AVAILABLE	토심이	1
구머링 검정 키링	https://image1.marpple.co/files/u_4216304/2024/11/original/600fc73e19af8aeebb9bcdd038bd03b0c560db851.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
으엥 알치날 키링	https://image1.marpple.co/files/u_4073707/2024/6/original/efae9fc3539e6a4334a238e4eb2955f9f1090ad21.png?q=92&w=450&f=webp&bg=f6f6f6	"5,800"	AVAILABLE	[안드로메다 틈새먼지] 안틈먼	1
커피 죠아 이루 키링	https://image1.marpple.co/files/u_5108934/2024/11/original/501ad27c25d7f2ea137acdd18b3c192f234072b11.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	이루와친구들	1
재쓰비의 속마음 키링 3종 세트 SBN	https://image1.marpple.co/files/u_4796235/2024/11/original/31cb8d6c9e1f3ab84c671a40e6dd38e7accf23e61.jpg?q=92&w=600&f=webp&bg=f6f6f6	"24,000"	SOLD_OUT	재쓰비	1
이루 프로필 키링	https://image1.marpple.co/files/u_5108934/2024/11/original/972bb3b3b5941d21848db6a8fdf531b7b5ef639d1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,000"	AVAILABLE	이루와친구들	1
운터놔줘!	https://image1.marpple.co/files/u_2339991/2024/9/original/9b75f4ffc9b794113898a14dd6eb3d79955b90b21.png?q=92&w=450&f=webp&bg=f6f6f6	"13,900"	AVAILABLE	카운터	1
밥찵여 안경만두 키링	https://image1.marpple.co/files/u_172909/2024/12/original/41d56bc740fdf9f3a457d635edfa8ceed87fdc8a1.png?q=92&w=450&f=webp&bg=f6f6f6	"7,400"	AVAILABLE	49	1
선주후면	https://image1.marpple.co/files/u_1080300/2024/11/original/3eb4b512248acbf0f72fd38dec0fdf89bee811c61.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	SOLD_OUT	냉면킬러	1
신이석 캐릭터 키링	https://image1.marpple.co/files/u_4693450/2024/9/original/3e525c5bfe3e2679cb082fe263b3eeecfeea3cfd1.png?q=92&w=450&f=webp&bg=f6f6f6	"12,100"	AVAILABLE	토마토가 돼라!	1
스파이스	https://image1.marpple.co/files/u_1097876/2024/12/original/3c33213599fd4fea1cd5fca868bc3e36a8cc7eb11.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	엉덩국 굿즈상점	1
구머링 빨강 키링	https://image1.marpple.co/files/u_4216304/2024/11/original/bff2ccbdabb5a0ec08d38282cb4fb9d8e1cf0deb1.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
베키베어	https://image1.marpple.co/files/u_1852815/2024/11/original/369589e7f8ab204e512ce057cbce25fa94cc15cc1.png?q=92&w=450&f=webp&bg=f6f6f6	"5,000"	AVAILABLE	베키베어	1
[깜앙]까뭉 아크릴키링	https://image1.marpple.co/files/u_3519055/2024/1/original/869f487925f01b87bccc89a4b535c317d746a0fe1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	깜앙샵kkamangshop	1
[깜앙]앙토 아크릴키링	https://image1.marpple.co/files/u_3519055/2024/1/original/dd40a303eda0795bef0bba9768d00f6a14c065cd1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	깜앙샵kkamangshop	1
수영하는 토심이 키링	https://image1.marpple.co/files/u_24801/2022/9/original/098c995c6e8fe6e4da0a788413d1587471fee3c61.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	토심이	1
별똥하랑 키링	https://image1.marpple.co/files/u_2120274/2023/3/original/ca2f63d37bf4cb3ab99c8975c41e64b2680e52e21.png?q=92&w=450&f=webp&bg=f6f6f6	"10,500"	AVAILABLE	은하랑	1
