PF256041,서울특별시,2025-01-11 00:00:00.000000,두산아트센터,연극,"이태원 트랜스젠더, 클럽 2F",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256041_241219_111717.gif,2025-01-09 00:00:00.000000
PF256048,해외,2025-02-02 00:00:00.000000,duo MUSIC EXCHANGE,대중음악,"자우림 일본 콘서트, TOKYO EXPRESS",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256048_241219_114330.gif,2025-02-01 00:00:00.000000
PF256051,경상북도,2025-02-15 00:00:00.000000,천마아트센터,대중음악,주현미 콘서트: The Original [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256051_241220_162433.jpg,2025-02-15 00:00:00.000000
PF256052,경상남도,2025-02-02 00:00:00.000000,남명아트홀,서양음악(클래식),지브리와 사랑에 빠지다: 지브리 영화음악 콘서트 [김해],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256052_241230_135706.jpg,2025-02-02 00:00:00.000000
PF256054,서울특별시,2025-01-12 00:00:00.000000,산울림소극장,연극,숨바꼭질,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256054_241227_175445.gif,2025-01-10 00:00:00.000000
PF256063,대구광역시,2025-01-11 00:00:00.000000,공간울림연주홀,서양음악(클래식),PRESENT [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256063_241219_131630.png,2025-01-11 00:00:00.000000
PF256067,서울특별시,2025-01-12 00:00:00.000000,코델아트홀,연극,바다악어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256067_241219_134617.gif,2025-01-02 00:00:00.000000
PF256070,서울특별시,2025-02-09 00:00:00.000000,선돌극장,연극,"극단 나베 창단 10주년 기념공연, 더 시걸: 갈매기",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256070_241219_141017.gif,2025-01-16 00:00:00.000000
PF256071,부산광역시,2025-03-02 00:00:00.000000,부산시민회관,서커스/마술,마술사 최형배의 오리지널 과학마술콘서트: 공룡편 [부산],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256071_241219_141053.gif,2025-03-01 00:00:00.000000
PF256074,서울특별시,2025-03-30 00:00:00.000000,더 줌 아트센터,뮤지컬,이상한 나라의 춘자씨,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256074_241220_151847.gif,2025-02-06 00:00:00.000000
PF256076,서울특별시,2025-02-27 00:00:00.000000,국립극장,뮤지컬,오지게 재밌는 가시나들,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256076_241220_152115.gif,2025-02-11 00:00:00.000000
PF256081,서울특별시,2025-01-05 00:00:00.000000,갤러리 디 아르테 청담,서양음악(클래식),"월간연주자, 듀오 시리즈: 홍유진, 윤석우 (1월)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256081_241220_153900.gif,2025-01-05 00:00:00.000000
PF256085,경기도,2025-02-15 00:00:00.000000,복사골문화센터,뮤지컬,겨울왕국: 겨울이야기 [부천],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256085_241220_154615.gif,2025-02-15 00:00:00.000000
PF256095,경기도,2025-01-18 00:00:00.000000,안양아트센터,복합,안양문화예술재단 신년음악회 [안양],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256095_241220_161044.gif,2025-01-18 00:00:00.000000
PF256102,서울특별시,2025-01-04 00:00:00.000000,서울대학교,연극,"제4회 극단 에이트볼 기획공연, 소프루",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256102_241220_164545.jpg,2025-01-02 00:00:00.000000
PF256103,경기도,2025-03-23 00:00:00.000000,용인시평생학습관(여성회관),뮤지컬,그리스 로마 신화: 신들의 왕 제우스 [용인],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256103_241220_164709.jpg,2025-03-22 00:00:00.000000
PF256110,충청남도,2025-01-09 00:00:00.000000,천안시청 봉서홀,서양음악(클래식),천안시립교향악단 신년음악회 [천안],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256110_241220_171808.png,2025-01-09 00:00:00.000000
PF256112,서울특별시,2025-01-18 00:00:00.000000,스페이스브릭 (SPACE BRICK),대중음악,"오현우 첫번째 콘서트: 오늘, 현재 우리의 시간",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256112_241220_172451.jpg,2025-01-18 00:00:00.000000
PF256116,서울특별시,2025-01-19 00:00:00.000000,아르코예술극장,연극,벼개가 된 사나히,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256116_241220_173815.jpg,2025-01-11 00:00:00.000000
PF256117,광주광역시,2025-02-09 00:00:00.000000,빛고을시민문화관,뮤지컬,그리스 로마 신화: 신들의 왕 제우스 [광주],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256117_241220_180230.jpg,2025-02-08 00:00:00.000000
PF256127,서울특별시,2025-01-04 00:00:00.000000,CJ아지트 광흥창,대중음악,적란운 X 행로난 X To More Raw new year concert: ON,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256127_241223_100945.jpg,2025-01-04 00:00:00.000000
PF256136,서울특별시,2025-03-29 00:00:00.000000,웨스트브릿지 라이브홀,대중음악,더 쉬스곤 내한공연 the shes gone oneman live in korea,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256136_241223_103301.jpg,2025-03-29 00:00:00.000000
PF256142,경상북도,2025-02-07 00:00:00.000000,구미시문화예술회관,서양음악(클래식),"구미 신년음악회, 빈 베를린 체임버오케스트라",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256142_241223_105219.gif,2025-02-07 00:00:00.000000
PF256164,서울특별시,2025-01-15 00:00:00.000000,살롱 문보우,대중음악,About Tmmm: 틈에 관하여,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256164_241223_114902.png,2025-01-15 00:00:00.000000
PF256166,서울특별시,2025-02-01 00:00:00.000000,노원구민의전당(구. 노원구민회관),뮤지컬,바다탐험대 옥토넛 시즌3: 바다넘어 육지까지 [서울 노원],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256166_241223_130331.gif,2025-02-01 00:00:00.000000
PF256168,서울특별시,2025-01-17 00:00:00.000000,로데아트센터,서양음악(클래식),Conversation: Baroque Solo & Duo,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256168_241223_130425.jpg,2025-01-17 00:00:00.000000
PF256170,서울특별시,2025-02-16 00:00:00.000000,유니버설아트센터,뮤지컬,"최고다 호기심딱지 시즌3: 호빵이, 레벨업 대작전 [서울 광진]",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256170_241224_143915.jpg,2025-02-15 00:00:00.000000
PF256178,부산광역시,2025-03-23 00:00:00.000000,BNK부산은행 조은극장,연극,나의 PS 파트너 [부산],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256178_241223_132842.gif,2025-01-03 00:00:00.000000
PF256181,충청남도,2025-01-18 00:00:00.000000,서산문화원,서커스/마술,어린이 마술쇼 [서산],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256181_241223_133725.png,2025-01-18 00:00:00.000000
PF256201,경기도,2025-01-18 00:00:00.000000,부천아트센터,서양음악(클래식),Breeze Ensemble pour vents 신년음악회: Symphony of breeze,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256201_241224_100503.png,2025-01-18 00:00:00.000000
PF256205,대구광역시,2025-03-16 00:00:00.000000,대구문화예술회관,뮤지컬,타키포오 [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256205_241224_101045.gif,2025-03-15 00:00:00.000000
PF256206,서울특별시,2025-01-02 00:00:00.000000,아틀리에홀,대중음악,YUKO Last Live: サヨナラの意味,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256206_241224_101502.png,2025-01-02 00:00:00.000000
PF256215,광주광역시,2025-01-15 00:00:00.000000,전남대학교 민주마루홀,서양음악(클래식),"제391회 광주시립교향악단 정기연주회, 신년음악회 New Wave",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256215_241224_105344.png,2025-01-15 00:00:00.000000
PF256218,세종특별자치시,2025-01-10 00:00:00.000000,비오케이아트센터(BOK아트센터),뮤지컬,그대와 영원히 [세종],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256218_241224_111152.jpg,2025-01-07 00:00:00.000000
PF256219,제주특별자치도,2025-01-04 00:00:00.000000,서귀포예술의전당,뮤지컬,이그니스 마법학교 시즌3: 나는 별이야 (오후7시30분) [제주],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256219_241224_111925.gif,2025-01-04 00:00:00.000000
PF256223,경기도,2025-01-19 00:00:00.000000,다산아트홀,뮤지컬,바다탐험대 옥토넛 시즌3: 바다넘어 육지까지 [남양주 다산],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256223_241224_112900.jpg,2025-01-18 00:00:00.000000
PF256230,경기도,2025-03-09 00:00:00.000000,성남아트리움 (구. 성남시민회관),뮤지컬,타키포오 [성남],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256230_241224_124119.jpg,2025-03-08 00:00:00.000000
PF256234,경상남도,2025-03-02 00:00:00.000000,성산아트홀,대중음악,이승환 35주년 콘서트: HEAVEN [창원],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256234_241224_125801.jpg,2025-03-02 00:00:00.000000
PF256243,경기도,2025-02-23 00:00:00.000000,평택시남부문예회관,뮤지컬,책 먹는 여우 [평택남부],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256243_241224_133113.jpg,2025-02-23 00:00:00.000000
PF256250,서울특별시,2025-01-17 00:00:00.000000,구로아트밸리,서양음악(클래식),"구로문화재단 신년음악회: 베이스 바리톤 사무엘 윤, 소프라노 김유미",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256250_241224_140532.gif,2025-01-17 00:00:00.000000
PF256257,서울특별시,2025-01-19 00:00:00.000000,KBS스포츠월드(아레나),대중음악,"어썸스테이지, 권진아",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256257_241224_142827.gif,2025-01-19 00:00:00.000000
PF256260,서울특별시,2025-01-26 00:00:00.000000,노들섬,대중음악,"케이시 콘서트, 아홉번째 겨울: 사랑의 편린",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256260_241224_144750.png,2025-01-25 00:00:00.000000
PF256283,서울특별시,2025-01-11 00:00:00.000000,강동아트센터,서양음악(클래식),율챔버오케스트라와 율앙상블이 함께하는 신년음악회,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256283_241226_103623.jpg,2025-01-11 00:00:00.000000
PF256285,경기도,2025-01-17 00:00:00.000000,성남아트센터,서양음악(클래식),성남시립교향악단 신년음악회,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256285_241226_104020.jpg,2025-01-17 00:00:00.000000
PF256296,서울특별시,2025-01-26 00:00:00.000000,대학로예술극장,한국음악(국악),해원해줄게요: REMASTER,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256296_241226_120715.jpg,2025-01-24 00:00:00.000000
PF256301,서울특별시,2025-01-26 00:00:00.000000,연희예술극장,연극,제9회 모자이크 페스티벌: 세상의 모든 연희들에게,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256301_241226_131738.png,2025-01-21 00:00:00.000000
PF256302,광주광역시,2025-01-25 00:00:00.000000,국립아시아문화전당,무용,솔직히,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256302_241226_132417.jpg,2025-01-24 00:00:00.000000
PF256329,경기도,2025-01-26 00:00:00.000000,라스플로레스 [화성],서양음악(클래식),영유아 클래식 Ⅹ 미디어아트 공연: HAPPY NEW YEAR [화성] (1월),http://www.kopis.or.kr/upload/pfmPoster/PF_PF256329_241227_101708.png,2025-01-04 00:00:00.000000
PF256333,경기도,2025-01-16 00:00:00.000000,광명시민회관,복합,"신년음악회, 여민동락",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256333_241227_103315.png,2025-01-16 00:00:00.000000
PF256340,대구광역시,2025-01-10 00:00:00.000000,수성아트피아,서양음악(클래식),제10회 대구국제청소년오케스트라 정기연주회,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256340_241227_110246.jpg,2025-01-10 00:00:00.000000
PF256356,서울특별시,2025-01-18 00:00:00.000000,JCC 아트센터,서양음악(클래식),빈 필하모닉 신년음악회 (영상화),http://www.kopis.or.kr/upload/pfmPoster/PF_PF256356_241227_120608.gif,2025-01-18 00:00:00.000000
PF256368,서울특별시,2025-01-13 00:00:00.000000,클럽온에어,대중음악,"먼데이프로젝트 시즌8, My Universe: 정효빈 단독 콘서트",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256368_241227_132355.jpg,2025-01-13 00:00:00.000000
PF256372,서울특별시,2025-01-19 00:00:00.000000,소극장 플랫폼74,연극,패,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256372_241227_133707.gif,2025-01-16 00:00:00.000000
PF256376,인천광역시,2025-03-08 00:00:00.000000,아트센터 인천,서양음악(클래식),히사이시 조 영화음악 FESTA [인천],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256376_241227_135614.gif,2025-03-08 00:00:00.000000
PF256381,전라남도,2025-03-29 00:00:00.000000,예울마루,서양음악(클래식),히사이시 조 영화음악 콘서트 [여수],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256381_241227_141050.gif,2025-03-29 00:00:00.000000
PF256389,부산광역시,2025-03-01 00:00:00.000000,부산문화회관,대중음악,대학가요제 TOP5 전국투어 콘서트 [부산],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256389_241227_151349.gif,2025-03-01 00:00:00.000000
PF256395,서울특별시,2025-02-14 00:00:00.000000,무신사 개러지 (구. 왓챠홀),대중음악,KEN KAMIKITA 10주년 내한공연 KK 10th Anniversary Live in Seoul [앵콜],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256395_241230_101454.gif,2025-02-14 00:00:00.000000
PF256400,경기도,2025-03-16 00:00:00.000000,국립과천과학관,서커스/마술,공룡 애니멀 쇼 [과천],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256400_241230_102715.gif,2025-03-16 00:00:00.000000
PF256401,충청북도,2025-01-18 00:00:00.000000,충주시문화회관,서양음악(클래식),레스큐 [충주],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256401_241230_102953.jpg,2025-01-18 00:00:00.000000
PF256402,경기도,2025-02-16 00:00:00.000000,고양아람누리,뮤지컬,광화문 연가 [고양],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256402_241230_103143.jpg,2025-02-15 00:00:00.000000
PF256404,광주광역시,2025-02-23 00:00:00.000000,서빛마루문화예술회관,뮤지컬,누가 내 머리에 똥 쌌어? [광주],http://www.kopis.or.kr/upload/pfmPoster/PF_PF256404_241230_103731.png,2025-02-23 00:00:00.000000
PF256408,서울특별시,2025-01-12 00:00:00.000000,극장 봄 (봄소극장),연극,기억의 불씨,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256408_241230_104918.png,2025-01-09 00:00:00.000000
PF256411,서울특별시,2025-05-25 00:00:00.000000,링크아트센터,뮤지컬,배니싱,http://www.kopis.or.kr/upload/pfmPoster/PF_PF256411_241230_105414.jpg,2025-02-04 00:00:00.000000
PF256416,서울특별시,2025-04-06 00:00:00.000000,링크아트센터드림,뮤지컬,"무명, 준희",http://www.kopis.or.kr/upload/pfmPoster/PF_PF256416_241230_110652.gif,2025-01-24 00:00:00.000000
