FC000068,"","",2025.02.09,빛고을시민문화관 (공연장),뮤지컬,PF256117,그리스 로마 신화: 신들의 왕 제우스 [광주],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256117_241220_0602300.jpg""}","R석 70,000원",1시간 10분,2025.02.08,"토요일(11:00,14:00,16:00), 일요일(11:00,14:00)"
FC000071,"송소희, 권원태, 이승한, 김정주, 정영승, 진동규, 맹헌영 등","",2025.01.16,광명시민회관 (대공연장),복합,PF256333,"신년음악회, 여민동락","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256333_241227_1033150.jpg""}",전석무료,1시간 30분,2025.01.16,목요일(19:30)
FC000073,"윤석민, 한승찬, 김남훈","",2025.02.01,롤링홀 (롤링홀),대중음악,PF256516,"롤링 30주년 기념 공연, 피에타 단독 콘서트: 나선의 형태","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256516_241231_0121330.jpg""}","전석 55,000원",1시간 30분,2025.02.01,토요일(17:00)
FC000076,백윤학 등,"",2025.01.24,대전예술의전당 (앙상블홀),서양음악(클래식),PF256521,"대전시립교향악단 디스커버리 시리즈1, 당.신.들: 당신의 신청곡을 들려드립니다","{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256521_241231_0202501.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256521_241231_0202500.jpg""]}","전석 10,000원",1시간 20분,2025.01.23,목요일 ~ 금요일(19:30)
FC000081,김재원 등,"",2025.04.20,울산문화예술회관 (대공연장),서양음악(클래식),PF256477,히사이시 조 영화음악 콘서트 [울산],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256477_241230_0359410.jpg""}","R석 120,000원, S석 90,000원, A석 60,000원, B석 40,000원",1시간 50분,2025.04.20,일요일(15:00)
FC000082,"","",2025.01.04,CJ아지트 광흥창 (CJ아지트 광흥창),대중음악,PF256127,적란운 X 행로난 X To More Raw new year concert: ON,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256127_241223_1009450.jpg""}","전석 30,000원",2시간 30분,2025.01.04,토요일(19:00)
FC000100,"성시윤, 소은찬, 김선유, 송유나","",2025.01.25,모차르트홀 (모차르트홀),서양음악(클래식),PF255963,코리안챔버오케스트라 콩쿠르 위너 콘서트 시리즈 Ⅲ,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255963_241218_0944210.png""}","전석 10,000원",1시간,2025.01.25,토요일(17:00)
FC000127,"윤도현, 엄기준, 손준호, 차지연, 서은광, 류승주, 성민재 등","이영훈, 고선웅, 이지나 등",2025.02.16,고양아람누리 (아람극장),뮤지컬,PF256402,광화문 연가 [고양],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256402_241230_1031430.jpg""}","VIP석 160,000원, R석 130,000원, S석 100,000원, A석 70,000원",2시간 40분,2025.02.15,"토요일 ~ 일요일(14:00,19:00)"
FC000167,"이재엽, 황건우, 최여원 등","",2025.03.01,부산문화회관 (대극장),대중음악,PF256389,대학가요제 TOP5 전국투어 콘서트 [부산],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256389_241227_0312520.jpg""}","R석 132,000원, S석 121,000원",2시간 30분,2025.03.01,"토요일(13:30,18:00)"
FC000180,"백혜경, 이세준, 이영주, 장샘이","김미란, 송성원, 박유진 등",2025.01.26,나온씨어터 (나온씨어터),연극,PF256508,다른 부영,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256508_241231_1206010.jpg""}","전석 35,000원",1시간 20분,2025.01.23,"목요일 ~ 금요일(20:00), 토요일 ~ 일요일(17:00)"
